FrameCounter,RunTime,CameraPositionX,CameraPositionY,CameraPositionZ,CameraDirectionX,CameraDirectionY,CameraDirectionZ,CameraVelocityX,CameraVelocityY,CameraVelocityZ
46,1.072491,0.003284726,0.6817554,0.04526606,348.3152,357.9955,4.535931,0.1317928,0.263658,-0.1863054
47,1.09292,0.006495077,0.6871033,0.04132019,347.8897,358.4261,4.540583,0.1571439,0.2617725,-0.193147
48,1.119686,0.009627469,0.6922345,0.03749809,347.5027,358.9877,4.415277,0.1170311,0.1917114,-0.1427994
49,1.140092,0.0127677,0.6971122,0.03384356,347.2327,359.6295,4.516264,0.1538865,0.2390305,-0.1790899
50,1.158841,0.0158436,0.7019745,0.03047548,346.8581,0.2781575,4.928083,0.1640568,0.259337,-0.1796407
51,1.182086,0.01897,0.7066381,0.02768575,346.4695,0.7988356,5.12381,0.1344987,0.2006287,-0.1200148
52,1.204171,0.02193685,0.7107494,0.02507707,346.1646,1.359924,5.169067,0.1343343,0.1861557,-0.1181171
53,1.230157,0.02498355,0.7145936,0.02218718,345.8234,1.816382,5.285253,0.1172449,0.1479345,-0.1112103
54,1.251667,0.027897,0.7177492,0.01979252,345.659,2.215883,5.594314,0.1354452,0.1467025,-0.111327
55,1.27046,0.03082139,0.7205704,0.01751355,345.5218,2.470069,6.039552,0.1556166,0.1501227,-0.1212715
56,1.29543,0.03363077,0.7231647,0.01533205,345.3668,2.685723,6.481456,0.1125069,0.1038955,-0.08736242
57,1.316548,0.03657804,0.7251869,0.01329532,345.3424,2.842569,6.760345,0.1395635,0.09575555,-0.09644604
58,1.342197,0.03929808,0.7268593,0.01134908,345.2947,3.123296,6.759358,0.1060494,0.06520587,-0.0758806
59,1.360393,0.0419408,0.7282366,0.009668693,345.3272,3.424426,6.731607,0.1452331,0.07568968,-0.09234686
60,1.383024,0.04446353,0.7289416,0.007743819,345.3737,3.717646,6.689189,0.1114736,0.03114992,-0.08505592
61,1.405461,0.04699414,0.729591,0.006079535,345.6194,3.972987,6.610637,0.1127864,0.02894531,-0.07417516
62,1.428851,0.04944763,0.7300582,0.004201194,345.6426,4.184389,6.500951,0.104895,0.0199736,-0.08030549
63,1.45449,0.05181008,0.730597,0.002779905,345.7039,4.487843,6.59637,0.09214386,0.02101612,-0.05543531
64,1.474816,0.05405865,0.7311362,0.001804154,345.6995,4.837772,6.587312,0.1106254,0.02652677,-0.04800503
65,1.495567,0.05628607,0.731474,0.0008653938,345.7156,5.142155,6.571189,0.1073384,0.01627747,-0.04523849
66,1.517478,0.05835596,0.7318271,-3.498645E-05,345.6657,5.532772,6.554936,0.09447022,0.01611543,-0.04109346
67,1.540272,0.06042649,0.7322807,-0.0005167583,345.5755,5.786335,6.584678,0.09083458,0.01990179,-0.02113546
68,1.570603,0.06234297,0.7326032,-0.001152555,345.5106,5.944778,6.785943,0.06318596,0.01063148,-0.02096209
69,1.587929,0.06431448,0.732878,-0.001692366,345.4149,6.047914,6.943262,0.1137889,0.0158627,-0.03115614
70,1.615333,0.06584048,0.7331507,-0.001956129,345.2224,6.115573,7.02623,0.05568536,0.009950757,-0.00962497
71,1.653428,0.06892943,0.7335556,-0.002693699,344.9721,6.410342,6.910321,0.08108649,0.01062711,-0.01936156
72,1.678108,0.07033174,0.7336017,-0.00286287,344.7589,6.493935,6.720409,0.05681914,0.001869267,-0.006854517
73,1.697457,0.07180624,0.7335857,-0.003309815,344.6709,6.49558,6.444657,0.07620415,-0.0008255604,-0.02309872
74,1.719787,0.07314114,0.7335308,-0.003821024,344.572,6.610261,6.004735,0.05978068,-0.002461069,-0.02289343
75,1.741975,0.07456152,0.7332335,-0.00406623,344.5601,6.836051,5.530191,0.06401715,-0.01339713,-0.01105158
76,1.765939,0.07595886,0.7330639,-0.00462431,344.6187,7.073471,5.005274,0.05830931,-0.007076199,-0.02328811
77,1.791844,0.07750932,0.7327907,-0.005067042,344.6927,7.246523,4.791948,0.05985251,-0.01054739,-0.01709074
78,1.81232,0.07916071,0.7324267,-0.005325076,344.8083,7.464527,4.779049,0.08064687,-0.01777647,-0.01260126
79,1.831877,0.08076436,0.7324288,-0.005433618,344.9225,7.76062,4.724649,0.08199868,0.0001097186,-0.005550053
80,1.850889,0.08222997,0.7324086,-0.005308676,344.976,8.173838,4.851083,0.07708933,-0.001065944,0.006571797
81,1.872996,0.08366753,0.7324294,-0.005164435,345.0135,8.519504,5.150214,0.06502909,0.0009436913,0.006524846
82,1.899912,0.08502781,0.7325903,-0.004856875,345.0251,8.77921,5.578897,0.05053778,0.005976819,0.01142661
83,1.920611,0.08606724,0.7327269,-0.004511899,345.0265,9.037482,6.096606,0.05021633,0.006600052,0.01666638
84,1.941454,0.08696025,0.7328894,-0.00419485,345.053,9.214079,6.62866,0.04284462,0.007795521,0.01521128
85,1.962612,0.08759489,0.7328935,-0.003797937,345.0298,9.403937,6.979881,0.02999465,0.0001943771,0.01875905
86,1.986091,0.08776958,0.7328264,-0.003550456,345.0294,9.650516,7.141432,0.007440393,-0.002858492,0.01054047
87,2.011948,0.08765705,0.7326925,-0.003151931,345.0377,9.78397,7.317361,-0.004352236,-0.005177501,0.01541297
88,2.030679,0.08803159,0.7327318,-0.002887086,345.0808,9.732746,7.557273,0.01999589,0.002097043,0.01413947
89,2.052625,0.08732836,0.7325519,-0.002699545,345.0947,9.554906,7.696851,-0.03204339,-0.008196721,0.008545508
90,2.077733,0.08543664,0.7321205,-0.00256826,345.1607,9.388382,7.64379,-0.07534435,-0.01718277,0.005228883
91,2.101904,0.08402487,0.7318518,-0.002278878,345.2221,9.230608,7.434202,-0.05840688,-0.01111637,0.01197213
92,2.124045,0.08231539,0.7314985,-0.00197151,345.3043,9.073185,7.174548,-0.07720952,-0.01595865,0.01388245
93,2.142973,0.0803021,0.7311032,-0.001619514,345.412,8.927259,6.906838,-0.1063627,-0.02088372,0.01859605
94,2.164299,0.07828382,0.7308484,-0.001136731,345.5038,8.592834,6.69515,-0.09463842,-0.01194535,0.02263793
95,2.188612,0.07599092,0.7305986,-0.0005495645,345.5978,8.252092,6.5093,-0.09430835,-0.01027458,0.02415057
96,2.209577,0.0736078,0.7303872,0.0002665248,345.6745,7.952527,6.35872,-0.1136708,-0.01008427,0.03892609
97,2.237506,0.07098196,0.7301211,0.001108761,345.7523,7.728764,6.24176,-0.0940197,-0.00952698,0.03015676
98,2.254767,0.06833878,0.7298383,0.002134518,345.8022,7.539467,6.106329,-0.1531259,-0.01638812,0.05942456
99,2.275212,0.06577723,0.7294881,0.003134482,345.8128,7.336249,5.791811,-0.1252904,-0.01712497,0.04891027
100,2.297497,0.06295764,0.7289227,0.004005676,345.747,7.213564,5.514503,-0.1265283,-0.02537527,0.03909456
101,2.32137,0.06052376,0.728138,0.00497749,345.7694,6.918662,5.222988,-0.1019511,-0.03286694,0.04070753
102,2.347732,0.05845215,0.7272105,0.006390423,345.85,6.551577,4.607837,-0.07858328,-0.03518585,0.05359745
103,2.365104,0.0562562,0.7261102,0.007745424,346.0132,6.448341,3.750327,-0.126403,-0.06333201,0.07799642
104,2.390448,0.05430772,0.7248346,0.00930745,346.2696,6.463945,3.040451,-0.07688219,-0.05033208,0.06163378
105,2.409806,0.05300367,0.7242391,0.01229955,346.5405,6.164984,2.672833,-0.06736597,-0.03076658,0.1545693
106,2.433576,0.05167629,0.7238605,0.01577773,346.7326,5.760957,2.517646,-0.05584246,-0.01592544,0.1463258
107,2.458569,0.05067124,0.7238941,0.01990705,346.9663,5.360123,2.574824,-0.04021258,0.001345035,0.1652162
108,2.485043,0.05007448,0.7245592,0.02486655,346.9642,4.968745,2.546773,-0.02254108,0.0251236,0.1873331
109,2.503837,0.04947427,0.7254063,0.02986747,346.914,4.705585,2.537702,-0.03193764,0.04507136,0.2661007
110,2.521701,0.04905779,0.7264547,0.03550968,346.8,4.634189,2.767364,-0.02331322,0.05868477,0.3158296
111,2.545721,0.04897692,0.7277092,0.04173233,346.693,4.581445,3.127932,-0.003366637,0.05223088,0.259067
112,2.568961,0.0487747,0.7291351,0.04842144,346.5617,4.568448,3.490084,-0.008701091,0.06135293,0.2878235
113,2.588374,0.04872195,0.7304819,0.05522386,346.4573,4.459663,3.817008,-0.002717483,0.06937843,0.3504095
114,2.611138,0.04864719,0.7317628,0.06235773,346.4073,4.386225,4.085816,-0.003284099,0.05626892,0.3133847
115,2.633584,0.04854009,0.7327636,0.06995345,346.4239,4.317779,4.411093,-0.004771295,0.04458719,0.3383935
116,2.655177,0.04837699,0.7332274,0.07729017,346.5588,4.207666,4.778884,-0.007553627,0.02147857,0.3397754
117,2.68431,0.04831855,0.7335778,0.08481057,346.7151,3.987084,4.903915,-0.002005936,0.01202616,0.2581416
